Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_Disc_D5.0mm_W2.5mm_P2.50mm,1,100n,
C2,CP_Radial_D10.0mm_P2.50mm,1,1000u,
C3,CP_Radial_D6.3mm_P2.50mm,1,100u,
C4,C_Disc_D5.0mm_W2.5mm_P2.50mm,1,0.33u,
"D1, D2, D3, D4",D_DO-41_SOD81_P10.16mm_Horizontal,4,Schottky,
D5,D_DO-15_P10.16mm_Horizontal,1,D_TVS,
D6,LED_D5.0mm,1,LED,
J1,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,1,AC Input,
J2,PinHeader_1x02_P2.54mm_Vertical,1,Testing Point,
L1,L_Radial_D10.0mm_P5.00mm_Fastron_07M,1,670u,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,330,
RV1,RV_Disc_D12mm_W4.2mm_P7.5mm,1,Varistor,
U1,TO-220-3_Vertical,1,L7805,
